"ID","m/z","Yellow_10_5x_2_420_1600_isotopomeric_score_annotated_1233-211210.csv","Yellow_16_5x_420_1600_isotopomeric_score_annotated_1418-211210.csv","Yellow_17_5x_420_1600_isotopomeric_score_annotated_1604-211210.csv","Yellow_18_5x_420_1600_isotopomeric_score_annotated_1743-211210.csv","Yellow_19_5x_420_1600_isotopomeric_score_annotated_1912-211210.csv","Yellow_1_5x_420-1600_isotopomeric_score_annotated_2006-211210.csv","Yellow_20_5x_420_1600_isotopomeric_score_annotated_2157-211210.csv","PubChem","LM_ID","CAS_inf","MetSign_ID","hm_ID","Name_ID","Keg_ID","label_information"
330,789.6151,0,0,0,0,0,0,0,"Unknown,Unknown;DBLINKS854120;Unknown,Unknown;Unknown,Unknown;Unknown,Unknown;Unknown,Unknown","LMGP01010005,Unknown;Unknown;LMGP01010400,Unknown;Unknown,LMGP01010610;Unknown,LMGP01010007;Unknown,LMGP01010620","Unknown,Unknown;Unknown;Unknown,Unknown;Unknown,Unknown;Unknown,Unknown;Unknown,Unknown","C42H82N1O8P1-[M+Na+]-2H-7-{m+0}(0.90121)(Niso-1);C42H83N1O8P1-[M+Na+]-2H-6-{m+0}(0.90111)(Niso-1);C42H84N1O8P1-[M+Na+]-2H-5-{m+0}(0.90102)(Niso-1);C43H82N1O8P1-[M+NH4+]-{m+0}(0.89618)(Niso-1);C44H80N1O8P1-[M+H+]-2H-7-{m+0}(0.8918)(Niso-1);C44H82N1O8P1-[M+H+]-2H-5-{m+0}(0.89159)(Niso-1)","Unknown,HMDB07879;Unknown;Unknown,HMDB07878;HMDB07946,Unknown;HMDB07889,Unknown;HMDB07921,Unknown","1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine*,*PC(14:0/20:1(11Z))*;*1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine*;*1-decanoyl-2-tetracosanoyl-sn-glycero-3-phosphocholine*,*PC(14:0/20:0)*;*PC(15:0/20:2(11Z,14Z))*,*1-hexadecanoyl-2-(9Z,12Z-nonadecadienoyl)-sn-glycero-3-phosphocholine*;*PC(14:0/22:4(7Z,10Z,13Z,16Z))*,*1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine*;*PC(14:1(9Z)/22:2(13Z,16Z))*,*1-hexadecanoyl-2-(11E,14E,17E-eicosatrienoyl)-sn-glycero-3-phosphocholine","Unknown,C00157;C13875;Unknown,C00157;C00157,Unknown;C00157,Unknown;C00157,Unknown","2H_7"
331,789.6224,0,0,0,0,0,0,0,"Unknown,Unknown","Unknown,LMGP01010966","68737-67-7,Unknown","C44H84N1O8P1-[M+H+]-2H-3-{m+0}(0.89139)(Niso-1)","HMDB00593,Unknown","PC(18:1(9Z)/18:1(9Z))*,*1,2-di-(4Z-octadecenoyl)-sn-glycero-3-phosphocholine","C00157,Unknown","2H_3"
332,790.5253,0,0,0,0,0,0,0,"Unknown","LMPR01070056","Unknown","C48H68O8-[M+NH4+]-{m+0}(0.87371)(Niso-1)","Unknown","19'-Hexanoyloxyfucoxanthin","Unknown","N"
333,790.5332,5562.6356,4255.6185,3754.8544,3574.9088,4378.3424,0,0,"Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","Unknown;LMGP01010548,Unknown;Unknown;Unknown,LMGP02010040","Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","C43H76N1O8P1-[M+Na+]-2H-2-{m+0}(0.89658)(Niso-1);C43H78N1O8P1-[M+Na+]-{m+0}(0.89638)(Niso-1);C45H72N1O8P1-[M+H+]-2H-4-{m+0}(0.88717)(Niso-1);C45H74N1O8P1-[M+H+]-2H-2-{m+0}(0.88696)(Niso-1)","HMDB07951;Unknown,HMDB07949;HMDB09144;HMDB09687,Unknown","PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))*;*1-pentadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine*,*PC(15:0/20:4(5Z,8Z,11Z,14Z))*;*PE(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*;*PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))*,*1,2-di-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine","C00157;Unknown,C00157;C00350;C00350,Unknown","2H_2"
334,790.5408,27134.7123,27017.9367,21968.8467,26129.977,40066.0985,9563.0645,20488.8342,"Unknown","Unknown","Unknown","C45H76N1O8P1-[M+H+]-{m+0}(0.97406)(Niso-3)","HMDB09045","PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C00350","N"
335,791.5375,0,0,1399.378,1780.2732,0,0,0,"Unknown;Unknown,9546799;Unknown;Unknown,Unknown;Unknown","LMPR04000019;LMGP02010095,Unknown;Unknown;Unknown,LMGP01010959;Unknown","Unknown;Unknown,Unknown;Unknown;Unknown,Unknown;Unknown","C42H75N3O8-[M+K+]-2H-3-{m+0}(0.90857)(Niso-1);C43H74N1O8P1-[M+Na+]-2H-5-{m+0}(0.89683)(Niso-1);C43H76N1O8P1-[M+Na+]-2H-3-{m+0}(0.89663)(Niso-1);C44H72N1O8P1-[M+NH4+]-{m+0}(0.8919)(Niso-1);C45H72N1O8P1-[M+H+]-2H-5-{m+0}(0.88722)(Niso-1)","Unknown;Unknown,HMDB08946;HMDB07951;HMDB08240,Unknown;HMDB09144","bacteriohopane-,32,33,34-triol-35-cyclitolguanine*;*1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine*,*PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*;*PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))*;*PC(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))*,*1-(5Z,8Z,11Z,14Z-octadecatetraenoyl)-2-(5Z,8Z,11Z,14Z-octadecatetraenoyl)-sn-glycero-3-phosphocholine*;*PE(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","Unknown;Unknown,C00350;C00157;C00157,Unknown;C00350","2H_3"
336,791.544,11818.824,9861.6851,7595.8751,9146.9711,13312.3023,3188.4577,7453.8129,"Unknown,Unknown;Unknown,Unknown;Unknown","LMGP01010548,Unknown;Unknown,LMGP02010040;Unknown","Unknown,Unknown;Unknown,Unknown;Unknown","C43H78N1O8P1-[M+Na+]-2H-1-{m+0}(0.99428)(Niso-2);C45H74N1O8P1-[M+H+]-2H-3-{m+0}(0.99346)(Niso-2);C45H76N1O8P1-[M+H+]-2H-1-{m+0}(0.99344)(Niso-2)","Unknown,HMDB07949;HMDB09111,Unknown;HMDB09045","1-pentadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine*,*PC(15:0/20:4(5Z,8Z,11Z,14Z))*;*PE(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1,2-di-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine*;*PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","Unknown,C00157;C00350,Unknown;C00350","2H_1"
337,791.5441,0,10886.3658,8847.2624,10104.3584,0,0,0,"DBLINKS13772;Unknown,Unknown;Unknown,Unknown;Unknown","Unknown;LMGP01010548,Unknown;Unknown,LMGP02010040;Unknown","Unknown;Unknown,Unknown;Unknown,Unknown;Unknown","C41H69N7O8-[M+H+]-2H-3-{m+0}(0.9943)(Niso-2);C43H78N1O8P1-[M+Na+]-2H-1-{m+0}(0.99428)(Niso-2);C45H74N1O8P1-[M+H+]-2H-3-{m+0}(0.99346)(Niso-2);C45H76N1O8P1-[M+H+]-2H-1-{m+0}(0.99344)(Niso-2)","Unknown;Unknown,HMDB07949;HMDB09111,Unknown;HMDB09045","N-Acetyl-leu-leu-leu-leu-leu-tyr-amide*;*1-pentadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine*,*PC(15:0/20:4(5Z,8Z,11Z,14Z))*;*PE(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1,2-di-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine*;*PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C11607;Unknown,C00157;C00350,Unknown;C00350","2H_3"
338,792.5457,0,0,0,0,0,0,0,"Unknown;9546799,Unknown;Unknown;Unknown;Unknown,Unknown","LMPR04000019;Unknown,LMGP02010095;Unknown;Unknown;Unknown,LMGP02010040","Unknown;Unknown,Unknown;Unknown;Unknown;Unknown,Unknown","C42H75N3O8-[M+K+]-2H-4-{m+0}(0.90861)(Niso-1);C43H74N1O8P1-[M+Na+]-2H-6-{m+0}(0.89688)(Niso-1);C43H76N1O8P1-[M+Na+]-2H-4-{m+0}(0.89668)(Niso-1);C45H72N1O8P1-[M+H+]-2H-6-{m+0}(0.88727)(Niso-1);C45H74N1O8P1-[M+H+]-2H-4-{m+0}(0.88706)(Niso-1)","Unknown;HMDB08946,Unknown;HMDB07951;HMDB09144;HMDB09111,Unknown","bacteriohopane-,32,33,34-triol-35-cyclitolguanine*;*PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine*;*PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))*;*PE(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*;*PE(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1,2-di-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine","Unknown;C00350,Unknown;C00157;C00350;C00350,Unknown","2H_4"
339,792.5487,2309.2974,1785.1912,1409.2752,1664.2959,2299.6937,0,692.3818,"Unknown;Unknown,Unknown;Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","Unknown;LMGP02010321,Unknown;Unknown;Unknown,LMGP02010040;Unknown;LMGP01010611,Unknown","Unknown;Unknown,Unknown;Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","C43H76N1O8P1-[M+Na+]-2H-4-{m+0}(0.89668)(Niso-1);C43H78N1O8P1-[M+Na+]-2H-2-{m+0}(0.89648)(Niso-1);C45H72N1O8P1-[M+H+]-2H-6-{m+0}(0.88727)(Niso-1);C45H74N1O8P1-[M+H+]-2H-4-{m+0}(0.88706)(Niso-1);C45H76N1O8P1-[M+H+]-2H-2-{m+0}(0.88685)(Niso-1);C43H80N1O8P1-[M+Na+]-{m+0}(0.23204)(Niso-2)","HMDB07951;Unknown,HMDB07949;HMDB09144;HMDB09111,Unknown;HMDB09686;Unknown,HMDB07947","PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))*;*2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-3-hexadecanoyl-sn-glycero-1-phospho-N,N-dimethylethanolamine*,*PC(15:0/20:4(5Z,8Z,11Z,14Z))*;*PE(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*;*PE(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1,2-di-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine*;*PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))*;*1-hexadecanoyl-2-(9Z,12Z,15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine*,*PC(15:0/20:3(5Z,8Z,11Z))","C00157;Unknown,C00157;C00350;C00350,Unknown;C00350;Unknown,C00157","2H_4"
340,792.5564,1563.8682,1475.9755,1635.1153,2064.1371,2072.0342,0,3671.0253,"Unknown,Unknown","Unknown,LMGP02010094","Unknown,Unknown","C45H78N1O8P1-[M+H+]-{m+0}(0.99354)(Niso-2)","HMDB07958,Unknown","PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine","C00157,Unknown","N"
341,792.6028,0,0,0,0,0,0,0,"Unknown;Unknown,Unknown;Unknown;24779578,Unknown;Unknown,Unknown","LMGP02040014;Unknown,LMGP01020041;LMGP02040014;Unknown,LMSP06020002;Unknown,LMGP01020041","Unknown;Unknown,Unknown;Unknown;862509-48-6,Unknown;Unknown,Unknown","C45H76N1O6P1-[M+Na+]-2H-12-{m+0}(0.99385)(Niso-2);C42H80N1O7P1-[M+K+]-2H-12-{m+0}(0.92187)(Niso-2);C45H76N1O6P1-[M+Na+]-2H-12-{m+0}(0.82408)(Niso-2);C40H77N1O11S1-[M+H+]-2H-12-{m+0}(0.78202)(Niso-2);C42H80N1O7P1-[M+K+]-2H-12-{m+0}(0.7817)(Niso-2)","Unknown;HMDB08029,Unknown;Unknown;HMDB12313,Unknown;HMDB08029,Unknown","1-(8-[5]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*PC(16:1(9Z)/P-18:1(11Z))*,*1-hexadecyl-2-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine*;*1-(8-[5]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*3-O-Sulfogalactosylceramide (d18:1/16:0)*,*(3'-sulfo)Galbeta-Cer(d18:1/16:0)*;*PC(16:1(9Z)/P-18:1(11Z))*,*1-hexadecyl-2-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine","Unknown;C00157,Unknown;Unknown;C06125,C06125;C00157,Unknown","2H_12"
342,792.6099,0,0,0,0,0,0,0,"Unknown,Unknown;Unknown,Unknown;DBLINKS854121;Unknown;Unknown;Unknown,Unknown;Unknown","Unknown,LMGP01020041;Unknown,LMGP16010001;Unknown;LMGP02040014;LMGP02040017;Unknown,LMGP01020041;LMGP02040014","Unknown,Unknown;Unknown,Unknown;Unknown;Unknown;Unknown;Unknown,Unknown;Unknown","C42H80N1O7P1-[M+K+]-2H-12-{m+0}(0.98608)(Niso-2);C42H82N1O7P1-[M+K+]-2H-10-{m+0}(0.98576)(Niso-2);C42H83N1O7P1-[M+K+]-2H-9-{m+0}(0.9851)(Niso-2);C45H76N1O6P1-[M+Na+]-2H-12-{m+0}(0.98149)(Niso-2);C45H78N1O6P1-[M+Na+]-2H-10-{m+0}(0.97886)(Niso-2);C42H80N1O7P1-[M+K+]-2H-12-{m+0}(0.93544)(Niso-2);C45H76N1O6P1-[M+Na+]-2H-12-{m+0}(0.91501)(Niso-2)","HMDB08029,Unknown;HMDB07996,Unknown;Unknown;Unknown;Unknown;HMDB08029,Unknown;Unknown","PC(16:1(9Z)/P-18:1(11Z))*,*1-hexadecyl-2-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine*;*PC(16:0/P-18:1(11Z))*,*1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonocholine*;*1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonocholine*;*1-(8-[5]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*1-(8-[3]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*PC(16:1(9Z)/P-18:1(11Z))*,*1-hexadecyl-2-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine*;*1-(8-[5]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine","C00157,Unknown;C00157,Unknown;C13876;Unknown;Unknown;C00157,Unknown;Unknown","2H_12"
343,793.559,759.0997,0,0,0,1054.1477,0,1363.4111,"Unknown,Unknown;Unknown,Unknown;Unknown;Unknown;Unknown,Unknown","LMGP01010548,Unknown;LMGP01010611,Unknown;Unknown;Unknown;Unknown,LMGP02010094","Unknown,Unknown;Unknown,Unknown;Unknown;Unknown;Unknown,Unknown","C43H78N1O8P1-[M+Na+]-2H-3-{m+0}(0.89653)(Niso-1);C43H80N1O8P1-[M+Na+]-2H-1-{m+0}(0.89633)(Niso-1);C43H83N2O6P1-[M+K+]-{m+0}(0.8942)(Niso-1);C45H76N1O8P1-[M+H+]-2H-3-{m+0}(0.8869)(Niso-1);C45H78N1O8P1-[M+H+]-2H-1-{m+0}(0.88669)(Niso-1)","Unknown,HMDB07949;Unknown,HMDB07947;HMDB13465;HMDB09045;HMDB07958,Unknown","1-pentadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine*,*PC(15:0/20:4(5Z,8Z,11Z,14Z))*;*1-hexadecanoyl-2-(9Z,12Z,15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine*,*PC(15:0/20:3(5Z,8Z,11Z))*;*SM(d18:0/20:2(11Z,14Z))*;*PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*;*PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine","Unknown,C00157;Unknown,C00157;C00550;C00350;C00157,Unknown","2H_3"
344,793.6132,0,0,0,0,0,0,0,"24779578,Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown;Unknown","Unknown,LMSP06020002;Unknown,LMGP01020041;Unknown,LMGP16010001;LMGP02040014;LMGP02040017;Unknown","862509-48-6,Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown;Unknown","C40H77N1O11S1-[M+H+]-2H-13-{m+0}(0.91434)(Niso-1);C42H80N1O7P1-[M+K+]-2H-13-{m+0}(0.91177)(Niso-1);C42H82N1O7P1-[M+K+]-2H-11-{m+0}(0.91158)(Niso-1);C45H76N1O6P1-[M+Na+]-2H-13-{m+0}(0.88718)(Niso-1);C45H78N1O6P1-[M+Na+]-2H-11-{m+0}(0.88697)(Niso-1);C49H86O5-[M+K+]-{m+0}(0.867)(Niso-1)","HMDB12313,Unknown;HMDB08029,Unknown;HMDB07996,Unknown;Unknown;Unknown;HMDB07703","3-O-Sulfogalactosylceramide (d18:1/16:0)*,*(3'-sulfo)Galbeta-Cer(d18:1/16:0)*;*PC(16:1(9Z)/P-18:1(11Z))*,*1-hexadecyl-2-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine*;*PC(16:0/P-18:1(11Z))*,*1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonocholine*;*1-(8-[5]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*1-(8-[3]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*DG(22:4(7Z,10Z,13Z,16Z)/24:1(15Z)/0:0)","C06125,C06125;C00157,Unknown;C00157,Unknown;Unknown;Unknown;Unknown","2H_13"
345,794.5539,0,0,1698.7476,0,1834.8842,0,824.2758,"Unknown;11161;Unknown,9546799;Unknown,Unknown;Unknown","LMPR04000019;Unknown;LMGP02010095,Unknown;Unknown,LMGP01010959;Unknown","Unknown;75303-44-5;Unknown,Unknown;Unknown,Unknown;Unknown","C42H75N3O8-[M+K+]-2H-6-{m+0}(0.90871)(Niso-1);C41H68O13-[M+NH4+]-2H-8-{m+0}(0.90708)(Niso-1);C43H74N1O8P1-[M+Na+]-2H-8-{m+0}(0.89698)(Niso-1);C44H72N1O8P1-[M+NH4+]-2H-3-{m+0}(0.89019)(Niso-1);C45H72N1O8P1-[M+H+]-2H-8-{m+0}(0.88738)(Niso-1)","Unknown;Unknown;Unknown,HMDB08946;HMDB08240,Unknown;HMDB09144","bacteriohopane-,32,33,34-triol-35-cyclitolguanine*;*PittosideA*;*1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine*,*PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*;*PC(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))*,*1-(5Z,8Z,11Z,14Z-octadecatetraenoyl)-2-(5Z,8Z,11Z,14Z-octadecatetraenoyl)-sn-glycero-3-phosphocholine*;*PE(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","Unknown;C08969;Unknown,C00350;C00157,Unknown;C00350","2H_6"
346,794.5557,0,0,0,0,0,0,0,"Unknown;9546799,Unknown;Unknown;Unknown","LMPR04000019;Unknown,LMGP02010095;Unknown;Unknown","Unknown;Unknown,Unknown;Unknown;Unknown","C42H75N3O8-[M+K+]-2H-6-{m+0}(0.90871)(Niso-1);C43H74N1O8P1-[M+Na+]-2H-8-{m+0}(0.89698)(Niso-1);C43H76N1O8P1-[M+Na+]-2H-6-{m+0}(0.89678)(Niso-1);C45H72N1O8P1-[M+H+]-2H-8-{m+0}(0.88738)(Niso-1)","Unknown;HMDB08946,Unknown;HMDB07951;HMDB09144","bacteriohopane-,32,33,34-triol-35-cyclitolguanine*;*PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine*;*PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))*;*PE(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","Unknown;C00350,Unknown;C00157;C00350","2H_6"
347,794.566,0,0,0,0,0,0,0,"Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","Unknown;Unknown,LMGP01010611;LMGP01010610,Unknown;Unknown;Unknown,LMGP02010094","Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","C45H80N1O8P1-[M+H+]-{m+0}(0.99352)(Niso-2);C43H80N1O8P1-[M+Na+]-2H-2-{m+0}(0.89638)(Niso-1);C43H82N1O8P1-[M+Na+]-{m+0}(0.89618)(Niso-1);C45H76N1O8P1-[M+H+]-2H-4-{m+0}(0.88696)(Niso-1);C45H78N1O8P1-[M+H+]-2H-2-{m+0}(0.88675)(Niso-1)","HMDB07956;HMDB07947,Unknown;Unknown,HMDB07946;HMDB09045;HMDB09684,Unknown","PC(15:0/22:5(4Z,7Z,10Z,13Z,16Z))*;*PC(15:0/20:3(5Z,8Z,11Z))*,*1-hexadecanoyl-2-(9Z,12Z,15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine*;*1-hexadecanoyl-2-(9Z,12Z-nonadecadienoyl)-sn-glycero-3-phosphocholine*,*PC(15:0/20:2(11Z,14Z))*;*PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*;*PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)*,*1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine","C00157;C00157,Unknown;Unknown,C00157;C00350;C00350,Unknown","2H_2"
348,794.5709,1282.5223,2645.0881,2019.5633,1565.0651,5698.5086,0,2365.8526,"Unknown;Unknown,Unknown;Unknown","Unknown;Unknown,LMGP01010610;Unknown","Unknown;Unknown,Unknown;Unknown","C43H83N2O6P1-[M+K+]-2H-1-{m+0}(0.90482)(Niso-1);C43H82N1O8P1-[M+Na+]-{m+0}(0.89618)(Niso-1);C45H80N1O8P1-[M+H+]-{m+0}(0.88659)(Niso-1)","HMDB13465;HMDB07946,Unknown;HMDB07956","SM(d18:0/20:2(11Z,14Z))*;*PC(15:0/20:2(11Z,14Z))*,*1-hexadecanoyl-2-(9Z,12Z-nonadecadienoyl)-sn-glycero-3-phosphocholine*;*PC(15:0/22:5(4Z,7Z,10Z,13Z,16Z))","C00550;C00157,Unknown;C00157","2H_1"
349,795.5766,0,1235.5635,999.8989,0,2062.1314,0,920.3379,"Unknown,Unknown;Unknown","Unknown,LMGP02010094;Unknown","Unknown,Unknown;Unknown","C45H78N1O8P1-[M+H+]-2H-3-{m+0}(0.8868)(Niso-1);C45H80N1O8P1-[M+H+]-2H-1-{m+0}(0.88659)(Niso-1)","HMDB07958,Unknown;HMDB07956","PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine*;*PC(15:0/22:5(4Z,7Z,10Z,13Z,16Z))","C00157,Unknown;C00157","2H_3"
350,796.5231,0,1326.3889,0,1128.7174,3039.9977,0,0,"Unknown;Unknown,Unknown;Unknown,Unknown","LMSP06020003;LMGP01010585,Unknown;LMGP02080003,Unknown","Unknown;Unknown,Unknown;Unknown,Unknown","C40H77N1O12S1-[M+H+]-{m+0}(0.91391)(Niso-1);C42H80N1O8P1-[M+K+]-{m+0}(0.90097)(Niso-1);C45H76N1O7P1-[M+Na+]-{m+0}(0.88665)(Niso-1)","Unknown;Unknown,HMDB07880;Unknown,HMDB09710","(3'-sulfo)Galbeta-Cer(d18:1/2-OH-16:0)*;*1-hexadecanoyl-2-(10E,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine*,*PC(14:0/20:2(11Z,14Z))*;*1-(8-[3]-ladderane-octanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*,*PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))","Unknown;Unknown,C00157;Unknown,C00350","N"
351,796.5296,9014.9638,0,0,0,14198.8827,1068.7332,4938.6779,"Unknown,Unknown;Unknown,Unknown","Unknown,LMGP01010585;Unknown,LMGP02080003","Unknown,Unknown;Unknown,Unknown","C42H80N1O8P1-[M+K+]-{m+0}(0.90097)(Niso-1);C45H76N1O7P1-[M+Na+]-{m+0}(0.88665)(Niso-1)","HMDB07880,Unknown;HMDB09710,Unknown","PC(14:0/20:2(11Z,14Z))*,*1-hexadecanoyl-2-(10E,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine*;*PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))*,*1-(8-[3]-ladderane-octanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine","C00157,Unknown;C00350,Unknown","N"
